Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1999,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,PLN,Zloty,0.0,Units,,,1254000000.0,,
1999,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,552000000.0,,
1999,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,204000000.0,,
1999,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,352000000.0,,
1999,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,SEK,Swedish Krona,0.0,Units,,,8160000000.0,,
1999,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,CHF,Swiss Franc,0.0,Units,,,4166000000.0,,
1999,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,TRY,Turkish Lira,0.0,Units,,,380000000.0,,
1999,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,GBP,Pound Sterling,0.0,Units,,,3134000000.0,,
1999,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,USD,US Dollar,0.0,Units,,,50100000000.0,,
2000,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,149000000.0,,
2000,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,CAD,Canadian Dollar,0.0,Units,,,5109000000.0,,
2000,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,HRK,Croatian Kuna,0.0,Units,,,2326000000.0,,
2000,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,CZK,Czech Koruna,0.0,Units,,,10988000000.0,,
2000,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,DKK,Danish Krone,0.0,Units,,,3388000000.0,,
2000,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,488000000.0,,
2000,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,10940364408.677,,
