"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1998","1998","CAD","Canadian Dollar","0","Units",,,6694000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1999","1999","CAD","Canadian Dollar","0","Units",,,7298000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2000","2000","CAD","Canadian Dollar","0","Units",,,8068000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2001","2001","CAD","Canadian Dollar","0","Units",,,7339000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2002","2002","CAD","Canadian Dollar","0","Units",,,7869000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2003","2003","CAD","Canadian Dollar","0","Units",,,8306000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2004","2004","CAD","Canadian Dollar","0","Units",,,8734000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2005","2005","CAD","Canadian Dollar","0","Units",,,7914000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","CAD","Canadian Dollar","0","Units",,,7707000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","CAD","Canadian Dollar","0","Units",,,10098000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","CAD","Canadian Dollar","0","Units",,,10834000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","CAD","Canadian Dollar","0","Units",,,10384000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","CAD","Canadian Dollar","0","Units",,,11880000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","CAD","Canadian Dollar","0","Units",,,8004000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","CAD","Canadian Dollar","0","Units",,,8004000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","CAD","Canadian Dollar","0","Units",,,5395000000,"B","Break"
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","CAD","Canadian Dollar","0","Units",,,6935332415.6666,"B","Break"
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","CAD","Canadian Dollar","0","Units",,,7588227176.2367,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","CAD","Canadian Dollar","0","Units",,,7163506461.7556,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","CAD","Canadian Dollar","0","Units",,,7853184472.061,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","CAD","Canadian Dollar","0","Units",,,6157000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","CAD","Canadian Dollar","0","Units",,,6544000000,"P","Provisional value"
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1995","1995","HRK","Croatian Kuna","0","Units",,,150000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1996","1996","HRK","Croatian Kuna","0","Units",,,540000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1997","1997","HRK","Croatian Kuna","0","Units",,,434000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1998","1998","HRK","Croatian Kuna","0","Units",,,602000000,,
"HRV","Croatia","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1999","1999","HRK","Croatian Kuna","0","Units",,,912000000,,
