Year,Country,COUNTRY,VARIABLE,Variable,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2001,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,11464.0,,
2002,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,14198.0,,
2002,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,58054.0,,
2002,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,8571.0,,
2002,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,2969000.0,E,Estimated value
2002,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,1176425.0,,
2002,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,225586.0,,
2002,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,25307.0,,
2002,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,12705.0,,
2002,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,27407.0,,
2002,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,1514.0,,
2002,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,12084.0,,
2002,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,30287.0,,
2002,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,9254.0,,
2002,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,24550.0,,
2002,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,73325.0,,
2002,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,314519.0,,
2002,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,145081.0,,
2002,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,355371.0,,
2002,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,385471.0,,
2002,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,14468.0,,
2002,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,35820.0,,
2002,India,,,,,,,,,,,,,
2002,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,120505.0,,
2002,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,8125.0,,
2002,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,66342.0,,
2002,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,10889.0,,
2003,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,16945.0,,
2003,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,56614.0,,
2003,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,9467.0,B,Break
2003,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,2932000.0,E,Estimated value
2003,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,1189449.0,,
2003,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,218900.0,,
2003,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,27632.0,,
2003,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,12131.0,,
2003,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,27953.0,,
2003,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,1244.0,,
2003,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,11684.0,,
2003,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,30644.0,,
