Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Slovak Republic,Euro,,"227,000,000",,"201,000,000",,"260,000,000",,"210,000,000",,"240,000,000",,"360,000,000",,"411,000,000",,"520,000,000",,"566,000,000",,"662,000,000",,"342,000,000",,"432,000,000",,"311,000,000",,"360,000,000",,"550,000,000",,"1,133,782,000",,"751,418,000",,"749,613,000",,"768,840,000",,..,,"752,200,000",,"1,113,000,000"
Slovenia,Euro,,"372,000,000",,"284,000,000",,"337,000,000",,"470,000,000",,"496,000,000",,"450,000,000",,"573,000,000",,"666,000,000",,"694,000,000",,"406,000,000",,"221,000,000",,"112,000,000",,"102,000,000",,"104,000,000",,"128,000,000",(B),"145,000,000",,"149,000,000",,"217,000,000",,"330,000,000",,"306,000,000",,"235,000,000",,"299,000,000"
Spain,Euro,,"4,792,000,000",,"5,558,000,000",,"6,874,000,000",,"7,321,000,000",,"7,244,000,000",,"8,580,000,000",(B),"8,411,000,000",,"8,077,000,000",,"8,522,000,000",,"9,422,000,000",,"7,851,000,000",,"5,966,000,000",,"5,316,000,000",,"4,646,000,000",,"4,358,000,000",,"4,259,000,000",,"3,880,000,000",,"3,690,000,000",,"3,518,000,000",(P),"3,445,000,000",(E),"3,927,291,764",(E),"3,959,000,000"
Sweden,Euro,,"912,040,161",,"1,007,379,237",,"1,295,665,466",,"1,399,105,695",,"1,443,068,493",,"1,297,938,600",,"1,407,281,727",,"1,422,704,035",,"1,604,051,202",,"1,573,673,852",,"1,666,090,563",,"1,911,693,030",,"2,212,089,540",,"2,013,062,829",,"1,864,811,089",,"1,861,457,053",,"2,086,339,294",,"2,374,415,009",,"2,497,001,960",,"2,503,424,108",,"2,941,619,550",,"2,910,555,161"
Switzerland,Euro,,"2,716,184,118",,"2,765,492,585",,"2,846,919,302",,"2,734,924,706",,"2,729,097,856",,"2,766,259,769",,"2,710,571,483",,"2,674,255,798",,"2,840,400,731",,"2,996,887,211",,"3,418,463,319",,"3,822,528,363",,"3,880,361,736",,"3,731,416,037",,"3,647,291,289",,"4,225,708,278",,"3,968,196,208",,"3,930,182,108",,"3,816,554,653",,"4,300,737,024",,"4,700,409,536",,..
Türkiye,Euro,,"1,001,913,376",,"1,399,274,047",,"976,187,161",,"998,255,378",,"1,278,469,470",,"1,818,020,247",,"2,297,408,346",,"2,239,430,452",,"3,350,441,547",,"3,454,969,551",,"5,135,422,857",,"5,204,576,502",,"4,801,857,853",,"6,225,142,934",,"6,648,703,064",,"9,060,228,811",,"7,332,509,580",,"6,143,168,737",,"8,705,095,192",,"6,289,881,407",,"5,442,186,767",,"4,247,201,532"
United Kingdom,Euro,,"5,563,576,702",,"5,930,213,861",,"6,246,819,338",,"5,195,837,549",,"4,949,896,846",,"5,630,940,196",,"6,340,569,082",,"6,199,078,294",,"6,036,456,999",,"6,566,620,651",,"6,482,927,057",,"5,564,989,629",,"5,557,509,555",,"6,029,949,364",,"7,845,556,796",,"9,067,911,846",,"8,561,410,429",,"9,082,089,706",,"8,673,206,374",,"9,642,561,268",,..,,..
United States,Euro,,"58,549,783,550",,"65,430,995,980",,"63,816,276,855",,"52,524,537,979",,"50,189,013,110",,"54,707,583,548",,"59,090,547,105",,"57,201,225,741",,"54,331,565,347",,"59,068,398,766",,"62,104,311,125",,"59,423,726,378",,"64,639,079,029",,"61,285,950,911",,"62,763,395,545",,"80,299,206,921",,"83,950,840,412",,"85,539,714,868",,"86,584,849,767",,"96,195,069,668",,"93,139,402,436",,"91,761,723,701"
Data extracted on 17 Oct 2023 22:42 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B:,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P:,Provisional value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E:,Estimated value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
